cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
0,Simulation 2,1000,990,10,0,0
0,Simulation 0,1000,990,10,0,0
0,Simulation 1,1000,990,10,0,0
0,Simulation 3,1000,990,10,0,0
1,Simulation 0,1000,988,12,0,0
1,Simulation 1,1000,990,10,0,0
1,Simulation 3,1000,990,9,1,0
1,Simulation 2,1000,989,10,1,0
2,Simulation 0,1000,988,12,0,0
2,Simulation 2,1000,989,10,1,0
2,Simulation 3,1000,990,9,1,0
2,Simulation 1,1000,990,10,0,0
3,Simulation 3,1000,990,9,1,0
3,Simulation 2,1000,989,10,1,0
3,Simulation 1,1000,990,10,0,0
3,Simulation 0,1000,988,12,0,0
4,Simulation 1,1000,990,10,0,0
4,Simulation 3,1000,989,10,1,0
4,Simulation 2,1000,988,11,1,0
4,Simulation 0,1000,987,13,0,0
5,Simulation 3,1000,988,11,1,0
5,Simulation 2,1000,985,14,1,0
5,Simulation 0,1000,987,12,1,0
5,Simulation 1,1000,989,11,0,0
6,Simulation 2,1000,985,14,1,0
6,Simulation 1,1000,989,10,1,0
6,Simulation 0,1000,987,12,1,0
6,Simulation 3,1000,988,11,1,0
7,Simulation 1,1000,988,11,1,0
7,Simulation 2,1000,985,14,1,0
7,Simulation 0,1000,986,12,2,0
7,Simulation 3,1000,988,11,1,0
8,Simulation 2,1000,984,14,2,0
8,Simulation 0,1000,986,12,2,0
8,Simulation 3,1000,988,11,1,0
8,Simulation 1,1000,987,12,1,0
9,Simulation 3,1000,988,11,1,0
9,Simulation 1,1000,986,12,2,0
9,Simulation 2,1000,983,14,3,0
9,Simulation 0,1000,986,12,2,0
10,Simulation 1,1000,985,13,2,0
10,Simulation 3,1000,988,11,1,0
10,Simulation 2,1000,982,15,3,0
10,Simulation 0,1000,986,11,3,0
11,Simulation 3,1000,988,11,1,0
11,Simulation 1,1000,985,13,2,0
11,Simulation 2,1000,982,15,3,0
11,Simulation 0,1000,986,11,3,0
12,Simulation 2,1000,982,15,3,0
12,Simulation 1,1000,984,14,2,0
12,Simulation 0,1000,986,11,3,0
12,Simulation 3,1000,986,13,1,0
13,Simulation 0,1000,986,10,3,1
13,Simulation 3,1000,986,13,1,0
13,Simulation 1,1000,984,14,2,0
13,Simulation 2,1000,980,17,3,0
14,Simulation 2,1000,980,17,3,0
14,Simulation 3,1000,985,14,1,0
14,Simulation 1,1000,984,14,2,0
14,Simulation 0,1000,985,11,3,1
15,Simulation 0,1000,983,13,3,1
15,Simulation 1,1000,984,13,3,0
15,Simulation 3,1000,984,15,1,0
15,Simulation 2,1000,979,18,3,0
16,Simulation 1,1000,983,14,3,0
16,Simulation 3,1000,984,15,1,0
16,Simulation 2,1000,978,17,5,0
16,Simulation 0,1000,982,14,3,1
17,Simulation 1,1000,983,14,3,0
17,Simulation 2,1000,977,17,6,0
17,Simulation 0,1000,982,14,3,1
17,Simulation 3,1000,983,16,1,0
18,Simulation 1,1000,979,18,3,0
18,Simulation 0,1000,981,15,3,1
18,Simulation 2,1000,976,17,7,0
18,Simulation 3,1000,983,16,1,0
19,Simulation 1,1000,979,18,3,0
19,Simulation 3,1000,983,16,1,0
19,Simulation 2,1000,976,17,7,0
19,Simulation 0,1000,981,13,5,1
20,Simulation 1,1000,979,18,3,0
20,Simulation 2,1000,976,17,7,0
20,Simulation 3,1000,982,17,1,0
20,Simulation 0,1000,981,13,5,1
21,Simulation 3,1000,981,18,1,0
21,Simulation 1,1000,974,23,3,0
21,Simulation 2,1000,976,17,7,0
21,Simulation 0,1000,981,13,5,1
22,Simulation 1,1000,973,24,3,0
22,Simulation 2,1000,976,17,7,0
22,Simulation 3,1000,981,18,1,0
22,Simulation 0,1000,981,13,5,1
23,Simulation 3,1000,981,18,1,0
23,Simulation 2,1000,976,17,7,0
23,Simulation 1,1000,973,23,4,0
23,Simulation 0,1000,980,14,5,1
