cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
0,Simulation 0,1000,990,10,0,0
0,Simulation 1,1000,990,10,0,0
0,Simulation 3,1000,990,10,0,0
0,Simulation 2,1000,990,10,0,0
1,Simulation 3,1000,990,10,0,0
1,Simulation 0,1000,989,10,0,1
1,Simulation 1,1000,990,10,0,0
1,Simulation 2,1000,990,10,0,0
2,Simulation 3,1000,988,12,0,0
2,Simulation 2,1000,990,10,0,0
2,Simulation 1,1000,990,10,0,0
2,Simulation 0,1000,989,10,0,1
3,Simulation 2,1000,988,12,0,0
3,Simulation 0,1000,989,10,0,1
3,Simulation 3,1000,988,12,0,0
3,Simulation 1,1000,990,10,0,0
4,Simulation 0,1000,989,10,0,1
4,Simulation 3,1000,988,12,0,0
4,Simulation 1,1000,988,12,0,0
4,Simulation 2,1000,988,12,0,0
5,Simulation 0,1000,989,10,0,1
5,Simulation 1,1000,988,12,0,0
5,Simulation 2,1000,987,13,0,0
5,Simulation 3,1000,988,11,1,0
6,Simulation 1,1000,987,13,0,0
6,Simulation 2,1000,986,14,0,0
6,Simulation 0,1000,989,10,0,1
6,Simulation 3,1000,988,11,1,0
7,Simulation 2,1000,986,14,0,0
7,Simulation 0,1000,988,10,1,1
7,Simulation 3,1000,988,10,2,0
7,Simulation 1,1000,987,13,0,0
8,Simulation 2,1000,986,13,1,0
8,Simulation 3,1000,988,9,3,0
8,Simulation 1,1000,987,13,0,0
8,Simulation 0,1000,987,11,1,1
9,Simulation 2,1000,986,13,1,0
9,Simulation 3,1000,988,8,4,0
9,Simulation 0,1000,985,13,1,1
9,Simulation 1,1000,985,14,1,0
10,Simulation 3,1000,988,7,5,0
10,Simulation 1,1000,984,14,2,0
10,Simulation 2,1000,986,13,1,0
10,Simulation 0,1000,985,13,1,1
11,Simulation 3,1000,988,7,5,0
11,Simulation 2,1000,986,13,1,0
11,Simulation 1,1000,984,14,2,0
11,Simulation 0,1000,985,13,1,1
12,Simulation 0,1000,984,14,1,1
12,Simulation 3,1000,987,8,5,0
12,Simulation 1,1000,982,16,2,0
12,Simulation 2,1000,986,12,2,0
13,Simulation 3,1000,986,9,5,0
13,Simulation 2,1000,984,14,2,0
13,Simulation 1,1000,982,16,2,0
13,Simulation 0,1000,983,14,2,1
14,Simulation 1,1000,980,18,2,0
14,Simulation 2,1000,983,15,2,0
14,Simulation 3,1000,986,9,5,0
14,Simulation 0,1000,981,16,2,1
15,Simulation 3,1000,985,10,5,0
15,Simulation 2,1000,982,15,3,0
15,Simulation 0,1000,981,16,2,1
15,Simulation 1,1000,980,18,2,0
16,Simulation 3,1000,985,9,6,0
16,Simulation 2,1000,978,19,3,0
16,Simulation 1,1000,979,19,2,0
16,Simulation 0,1000,979,18,2,1
17,Simulation 0,1000,978,18,3,1
17,Simulation 1,1000,978,20,2,0
17,Simulation 3,1000,985,9,6,0
17,Simulation 2,1000,977,20,3,0
18,Simulation 2,1000,976,21,3,0
18,Simulation 0,1000,978,18,3,1
18,Simulation 3,1000,984,9,7,0
18,Simulation 1,1000,978,20,2,0
19,Simulation 2,1000,975,22,3,0
19,Simulation 0,1000,978,18,3,1
19,Simulation 3,1000,983,10,7,0
19,Simulation 1,1000,978,19,3,0
20,Simulation 3,1000,982,11,7,0
20,Simulation 2,1000,973,23,4,0
20,Simulation 0,1000,977,18,4,1
20,Simulation 1,1000,977,20,3,0
21,Simulation 2,1000,971,25,4,0
21,Simulation 0,1000,977,18,4,1
21,Simulation 3,1000,982,10,8,0
21,Simulation 1,1000,977,20,3,0
22,Simulation 1,1000,976,20,4,0
22,Simulation 3,1000,981,11,8,0
22,Simulation 2,1000,969,27,4,0
22,Simulation 0,1000,977,18,4,1
23,Simulation 3,1000,981,11,8,0
23,Simulation 0,1000,977,17,5,1
23,Simulation 1,1000,976,20,4,0
23,Simulation 2,1000,968,28,4,0
