cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
cycle,name,nb_people,nb_susceptible,nb_infected,nb_resistant,#nb_dead
38,Simulation 3,1000,970,23,6,1
38,Simulation 2,1000,935,55,10,0
38,Simulation 0,1000,982,12,6,0
38,Simulation 1,1000,968,27,5,0
39,Simulation 3,1000,969,24,6,1
39,Simulation 2,1000,934,55,11,0
39,Simulation 1,1000,967,28,5,0
39,Simulation 0,1000,982,11,7,0
40,Simulation 0,1000,982,10,8,0
40,Simulation 2,1000,931,58,11,0
40,Simulation 1,1000,964,30,6,0
40,Simulation 3,1000,969,24,6,1
41,Simulation 3,1000,968,25,6,1
41,Simulation 2,1000,929,59,12,0
41,Simulation 0,1000,982,10,8,0
41,Simulation 1,1000,962,32,6,0
42,Simulation 1,1000,962,31,7,0
42,Simulation 2,1000,927,61,12,0
42,Simulation 3,1000,966,27,6,1
42,Simulation 0,1000,982,10,8,0
43,Simulation 0,1000,982,10,8,0
43,Simulation 2,1000,923,65,12,0
43,Simulation 3,1000,964,29,6,1
43,Simulation 1,1000,961,32,7,0
44,Simulation 3,1000,963,29,7,1
44,Simulation 2,1000,920,66,14,0
44,Simulation 0,1000,982,10,8,0
44,Simulation 1,1000,960,31,8,1
45,Simulation 3,1000,961,31,7,1
45,Simulation 0,1000,982,10,8,0
45,Simulation 1,1000,959,32,8,1
45,Simulation 2,1000,919,66,15,0
46,Simulation 3,1000,961,31,7,1
46,Simulation 2,1000,916,67,16,1
46,Simulation 0,1000,982,10,8,0
46,Simulation 1,1000,957,34,8,1
47,Simulation 1,1000,956,35,8,1
47,Simulation 2,1000,914,65,20,1
47,Simulation 0,1000,982,10,8,0
47,Simulation 3,1000,956,36,7,1
48,Simulation 3,1000,955,36,8,1
48,Simulation 1,1000,955,36,8,1
48,Simulation 0,1000,981,11,8,0
48,Simulation 2,1000,913,65,21,1
49,Simulation 2,1000,911,67,21,1
49,Simulation 3,1000,954,36,9,1
49,Simulation 0,1000,980,12,8,0
49,Simulation 1,1000,955,36,8,1
50,Simulation 0,1000,980,12,8,0
50,Simulation 1,1000,953,38,8,1
50,Simulation 2,1000,907,71,21,1
50,Simulation 3,1000,952,38,9,1
51,Simulation 1,1000,952,39,8,1
51,Simulation 2,1000,905,71,22,2
51,Simulation 0,1000,980,12,8,0
51,Simulation 3,1000,949,40,10,1
52,Simulation 1,1000,950,41,8,1
52,Simulation 3,1000,946,43,10,1
52,Simulation 2,1000,903,71,24,2
52,Simulation 0,1000,979,13,8,0
53,Simulation 3,1000,943,45,11,1
53,Simulation 0,1000,979,13,8,0
53,Simulation 2,1000,902,72,24,2
53,Simulation 1,1000,949,42,8,1
54,Simulation 0,1000,978,14,8,0
54,Simulation 3,1000,942,45,12,1
54,Simulation 1,1000,947,43,9,1
54,Simulation 2,1000,901,73,24,2
55,Simulation 0,1000,977,15,8,0
55,Simulation 3,1000,940,46,12,2
55,Simulation 1,1000,946,44,9,1
55,Simulation 2,1000,899,75,24,2
56,Simulation 3,1000,938,48,12,2
56,Simulation 1,1000,942,47,10,1
56,Simulation 0,1000,977,15,8,0
56,Simulation 2,1000,893,80,25,2
57,Simulation 2,1000,889,83,26,2
57,Simulation 0,1000,977,15,8,0
57,Simulation 1,1000,940,48,11,1
57,Simulation 3,1000,938,46,14,2
58,Simulation 1,1000,938,50,11,1
58,Simulation 2,1000,887,85,26,2
58,Simulation 3,1000,938,44,16,2
58,Simulation 0,1000,977,15,8,0
59,Simulation 3,1000,936,44,18,2
59,Simulation 0,1000,975,16,9,0
59,Simulation 2,1000,881,90,26,3
59,Simulation 1,1000,936,52,11,1
60,Simulation 3,1000,934,46,18,2
60,Simulation 0,1000,975,15,10,0
60,Simulation 1,1000,934,54,11,1
60,Simulation 2,1000,879,92,26,3
61,Simulation 3,1000,934,45,18,3
61,Simulation 0,1000,974,16,10,0
61,Simulation 1,1000,932,55,12,1
61,Simulation 2,1000,878,93,26,3
62,Simulation 0,1000,973,17,10,0
62,Simulation 1,1000,932,54,13,1
62,Simulation 2,1000,874,95,28,3
62,Simulation 3,1000,933,45,18,4
63,Simulation 0,1000,972,18,10,0
63,Simulation 1,1000,930,55,14,1
63,Simulation 3,1000,931,47,18,4
63,Simulation 2,1000,872,94,31,3
64,Simulation 0,1000,970,20,10,0
64,Simulation 2,1000,870,96,31,3
64,Simulation 3,1000,926,51,19,4
64,Simulation 1,1000,929,56,14,1
65,Simulation 1,1000,928,57,14,1
65,Simulation 3,1000,925,50,21,4
65,Simulation 0,1000,970,20,10,0
65,Simulation 2,1000,867,98,32,3
66,Simulation 3,1000,923,51,21,5
66,Simulation 1,1000,925,60,14,1
66,Simulation 0,1000,968,21,11,0
66,Simulation 2,1000,862,102,33,3
67,Simulation 3,1000,920,54,21,5
67,Simulation 2,1000,860,103,34,3
67,Simulation 0,1000,967,22,11,0
67,Simulation 1,1000,923,61,15,1
68,Simulation 2,1000,855,107,35,3
68,Simulation 1,1000,922,61,16,1
68,Simulation 3,1000,920,53,22,5
68,Simulation 0,1000,965,24,11,0
69,Simulation 1,1000,920,63,16,1
69,Simulation 2,1000,851,109,37,3
69,Simulation 0,1000,963,25,12,0
69,Simulation 3,1000,919,54,22,5
70,Simulation 0,1000,960,28,12,0
70,Simulation 2,1000,847,111,39,3
70,Simulation 3,1000,919,54,22,5
70,Simulation 1,1000,919,62,18,1
71,Simulation 0,1000,957,31,12,0
71,Simulation 2,1000,844,111,42,3
71,Simulation 3,1000,916,56,23,5
71,Simulation 1,1000,914,67,18,1
72,Simulation 3,1000,912,59,24,5
72,Simulation 1,1000,913,66,20,1
72,Simulation 0,1000,955,33,12,0
72,Simulation 2,1000,840,115,42,3
73,Simulation 0,1000,954,34,12,0
73,Simulation 2,1000,837,115,45,3
73,Simulation 1,1000,910,68,21,1
73,Simulation 3,1000,911,59,25,5
74,Simulation 0,1000,951,37,12,0
74,Simulation 2,1000,837,113,47,3
74,Simulation 1,1000,907,71,21,1
74,Simulation 3,1000,911,58,26,5
75,Simulation 0,1000,950,38,12,0
75,Simulation 2,1000,836,112,49,3
75,Simulation 1,1000,903,74,22,1
75,Simulation 3,1000,910,58,27,5
76,Simulation 3,1000,907,61,27,5
76,Simulation 2,1000,836,111,50,3
76,Simulation 0,1000,949,39,12,0
76,Simulation 1,1000,899,77,23,1
77,Simulation 1,1000,895,80,24,1
77,Simulation 2,1000,835,110,51,4
77,Simulation 0,1000,948,40,12,0
77,Simulation 3,1000,905,62,28,5
78,Simulation 3,1000,901,66,28,5
78,Simulation 0,1000,945,43,12,0
78,Simulation 1,1000,892,82,25,1
78,Simulation 2,1000,834,109,53,4
79,Simulation 1,1000,889,85,25,1
79,Simulation 2,1000,831,109,56,4
79,Simulation 3,1000,897,70,28,5
79,Simulation 0,1000,943,45,12,0
80,Simulation 1,1000,884,90,25,1
80,Simulation 3,1000,894,73,28,5
80,Simulation 2,1000,828,110,58,4
80,Simulation 0,1000,941,47,12,0
81,Simulation 0,1000,939,49,12,0
81,Simulation 2,1000,829,108,59,4
81,Simulation 1,1000,880,92,27,1
81,Simulation 3,1000,894,73,28,5
82,Simulation 3,1000,890,77,28,5
82,Simulation 0,1000,938,48,14,0
82,Simulation 2,1000,828,109,59,4
82,Simulation 1,1000,879,92,28,1
83,Simulation 0,1000,935,51,14,0
83,Simulation 1,1000,877,94,28,1
83,Simulation 3,1000,887,79,29,5
83,Simulation 2,1000,828,108,60,4
84,Simulation 2,1000,827,109,60,4
84,Simulation 0,1000,932,52,16,0
84,Simulation 1,1000,875,94,30,1
84,Simulation 3,1000,881,85,29,5
85,Simulation 3,1000,876,89,30,5
85,Simulation 2,1000,825,110,61,4
85,Simulation 1,1000,872,95,32,1
85,Simulation 0,1000,930,54,16,0
86,Simulation 0,1000,929,55,16,0
86,Simulation 3,1000,874,89,32,5
86,Simulation 1,1000,869,96,34,1
86,Simulation 2,1000,823,111,62,4
87,Simulation 0,1000,926,57,17,0
87,Simulation 1,1000,864,100,35,1
87,Simulation 2,1000,818,112,64,6
87,Simulation 3,1000,871,92,32,5
88,Simulation 0,1000,923,60,17,0
88,Simulation 2,1000,816,113,65,6
88,Simulation 3,1000,870,93,32,5
88,Simulation 1,1000,861,103,35,1
89,Simulation 0,1000,920,62,18,0
89,Simulation 1,1000,857,105,37,1
89,Simulation 3,1000,868,95,32,5
89,Simulation 2,1000,816,110,68,6
90,Simulation 3,1000,866,96,33,5
90,Simulation 2,1000,816,108,70,6
90,Simulation 1,1000,857,103,39,1
90,Simulation 0,1000,918,64,18,0
91,Simulation 3,1000,861,99,35,5
91,Simulation 0,1000,916,65,19,0
91,Simulation 2,1000,815,108,71,6
91,Simulation 1,1000,858,100,41,1
92,Simulation 3,1000,858,102,35,5
92,Simulation 0,1000,914,66,20,0
92,Simulation 2,1000,813,106,75,6
92,Simulation 1,1000,851,106,42,1
93,Simulation 1,1000,847,109,43,1
93,Simulation 2,1000,812,103,79,6
93,Simulation 0,1000,910,69,21,0
